category,type,technology,count
ai_model_tool,wanted,openAI GPT (chatbot models),8328
ai_model_tool,wanted,Anthropic: Claude Sonnet,5428
ai_model_tool,wanted,openAI Reasoning models,4213
ai_model_tool,wanted,Gemini (Flash general purpose models),3865
ai_model_tool,wanted,Gemini (Pro Reasoning models),3670
ai_model_tool,wanted,openAI Image generating models,3031
ai_model_tool,wanted,DeepSeek (R- Reasoning models),2750
ai_model_tool,wanted,Meta Llama (all models),2004
ai_model_tool,wanted,DeepSeek (V- General purpose models),1832
ai_model_tool,wanted,X Grok models,1429
ai_model_tool,wanted,Mistral AI models,1288
ai_model_tool,wanted,Perplexity Sonar models,1012
ai_model_tool,wanted,Alibaba Cloud Qwen models,669
ai_model_tool,wanted,Microsoft Phi-4 models,629
ai_model_tool,wanted,Amazon Titan models,312
ai_model_tool,wanted,Cohere: Command A,155
ai_model_tool,wanted,Reka (Flash 3 or other Reka models),131
database,wanted,PostgreSQL,11863
database,wanted,SQLite,7185
database,wanted,Redis,6014
database,wanted,MySQL,5120
database,wanted,MongoDB,4421
database,wanted,Microsoft SQL Server,3851
database,wanted,Elasticsearch,3288
database,wanted,MariaDB,3239
database,wanted,Dynamodb,1741
database,wanted,Supabase,1621
database,wanted,DuckDB,1436
database,wanted,BigQuery,1371
database,wanted,Oracle,1259
database,wanted,Valkey,1240
database,wanted,Cassandra,1214
database,wanted,Snowflake,1068
database,wanted,Firebase Realtime Database,1010
database,wanted,Cosmos DB,988
database,wanted,Cloud Firestore,980
database,wanted,Neo4J,972
database,wanted,Databricks SQL,874
database,wanted,Clickhouse,844
database,wanted,InfluxDB,721
database,wanted,Amazon Redshift,685
database,wanted,Cockroachdb,632
database,wanted,H2,620
database,wanted,Pocketbase,407
database,wanted,Microsoft Access,363
database,wanted,IBM DB2,330
database,wanted,Datomic,272
development_environment,wanted,Visual Studio Code,12722
development_environment,wanted,IntelliJ IDEA,4551
development_environment,wanted,Visual Studio,4145
development_environment,wanted,Vim,4079
development_environment,wanted,Notepad++,4027
development_environment,wanted,Cursor,3788
development_environment,wanted,Neovim,3445
development_environment,wanted,Claude Code,2644
development_environment,wanted,PyCharm,2468
development_environment,wanted,Jupyter Notebook/JupyterLab,2398
development_environment,wanted,Android Studio,2258
development_environment,wanted,Zed,1942
development_environment,wanted,Nano,1719
development_environment,wanted,Xcode,1563
development_environment,wanted,Sublime Text,1524
development_environment,wanted,WebStorm,1458
development_environment,wanted,Rider,1451
development_environment,wanted,VSCodium,1276
development_environment,wanted,Windsurf,1092
development_environment,wanted,PhpStorm,970
development_environment,wanted,RustRover,944
development_environment,wanted,Eclipse,759
development_environment,wanted,Lovable.dev,464
development_environment,wanted,Cline and/or Roo,461
development_environment,wanted,Aider,442
development_environment,wanted,Bolt,394
development_environment,wanted,Trae,187
language,wanted,Python,12419
language,wanted,SQL,11257
language,wanted,HTML/CSS,10661
language,wanted,JavaScript,10581
language,wanted,TypeScript,10099
language,wanted,Rust,9262
language,wanted,Bash/Shell (all shells),8662
language,wanted,Go,7414
language,wanted,C#,6117
language,wanted,C++,5243
language,wanted,Java,4981
language,wanted,C,4548
language,wanted,Kotlin,3786
language,wanted,PowerShell,3014
language,wanted,PHP,2873
language,wanted,Zig,2415
language,wanted,Lua,2389
language,wanted,Assembly,2154
language,wanted,Swift,2033
language,wanted,Elixir,1818
language,wanted,Dart,1653
language,wanted,Ruby,1587
language,wanted,R,1308
language,wanted,Lisp,1136
language,wanted,GDScript,1072
language,wanted,Gleam,972
language,wanted,Erlang,956
language,wanted,Scala,924
language,wanted,F#,908
language,wanted,OCaml,864
language,wanted,MicroPython,831
language,wanted,Perl,701
language,wanted,MATLAB,617
language,wanted,Groovy,606
language,wanted,Visual Basic (.Net),577
language,wanted,Mojo,572
language,wanted,Delphi,563
language,wanted,Ada,511
language,wanted,VBA,481
language,wanted,Prolog,414
language,wanted,COBOL,403
language,wanted,Fortran,397
platform_cloud,wanted,Docker,12243
platform_cloud,wanted,Amazon Web Services (AWS),7103
platform_cloud,wanted,Kubernetes,6772
platform_cloud,wanted,npm,6505
platform_cloud,wanted,Pip,4743
platform_cloud,wanted,Vite,4458
platform_cloud,wanted,Microsoft Azure,4089
platform_cloud,wanted,Google Cloud,3995
platform_cloud,wanted,Cloudflare,3844
platform_cloud,wanted,Terraform,3817
platform_cloud,wanted,Homebrew,3705
platform_cloud,wanted,Cargo,3359
platform_cloud,wanted,Make,3049
platform_cloud,wanted,APT,2782
platform_cloud,wanted,NuGet,2673
platform_cloud,wanted,Podman,2516
platform_cloud,wanted,Prometheus,2411
platform_cloud,wanted,Ansible,2364
platform_cloud,wanted,pnpm,2247
platform_cloud,wanted,Firebase,2177
platform_cloud,wanted,Yarn,2138
platform_cloud,wanted,Maven (build tool),1977
platform_cloud,wanted,Gradle,1823
platform_cloud,wanted,Digital Ocean,1797
platform_cloud,wanted,Vercel,1647
platform_cloud,wanted,Composer,1537
platform_cloud,wanted,Pacman,1514
platform_cloud,wanted,Bun,1493
platform_cloud,wanted,Datadog,1446
platform_cloud,wanted,Webpack,1424
platform_cloud,wanted,MSBuild,1405
platform_cloud,wanted,Supabase,1308
platform_cloud,wanted,Chocolatey,1193
platform_cloud,wanted,Poetry,1087
platform_cloud,wanted,Netlify,918
platform_cloud,wanted,Ninja,862
platform_cloud,wanted,Heroku,705
platform_cloud,wanted,Splunk,643
platform_cloud,wanted,New Relic,550
platform_cloud,wanted,Railway,347
platform_cloud,wanted,IBM Cloud,341
platform_cloud,wanted,Yandex Cloud,205
web_framework,wanted,React,7024
web_framework,wanted,Node.js,6806
web_framework,wanted,Vue.js,3516
web_framework,wanted,Next.js,3427
web_framework,wanted,ASP.NET Core,3361
web_framework,wanted,FastAPI,2922
web_framework,wanted,Angular,2858
web_framework,wanted,Express,2621
web_framework,wanted,Svelte,2542
